toponimo_i,nombre,link,varones,mujeres,tot_pob,hogares,viv_part,viv_part_h,id,id_oaci,nombre_2,y_lat,x_lon,temp,n,distance,feature_x,feature_y,nearest_x,nearest_y
104995,Comuna 1,02001,98097,107789,205886,84468,130771,156720,87582,SABE,AEROPARQUE AERO,-34.56667,-58.41667,28.30645161,1,0.06065849953,-58.37215554,-34.60787578,-58.41667,-34.56667
69679,Comuna 2,02002,68042,89890,157932,73156,107967,141738,87582,SABE,AEROPARQUE AERO,-34.56667,-58.41667,28.30645161,1,0.02992738989,-58.39547225,-34.58779591,-58.41667,-34.56667
104979,Comuna 3,02003,85601,101936,187537,80489,101161,151210,87582,SABE,AEROPARQUE AERO,-34.56667,-58.41667,28.30645161,1,0.05082688716,-58.40339966,-34.61573394,-58.41667,-34.56667
74728,Comuna 04,02004,103166,115079,218245,76455,82926,139360,87582,SABE,AEROPARQUE AERO,-34.56667,-58.41667,28.30645161,1,0.08203120597,-58.3881278,-34.64357554,-58.41667,-34.56667
69677,Comuna 05,02005,80806,98199,179005,76846,92750,146452,87582,SABE,AEROPARQUE AERO,-34.56667,-58.41667,28.30645161,1,0.05279598416,-58.42132165,-34.61926067,-58.41667,-34.56667
106597,Comuna 6,02006,78870,97206,176076,75189,93368,145884,87585,SABA,BUENOS AIRES,-34.58333,-58.48333,29.28387097,1,0.05268125648,-58.44431907,-34.61873427,-58.48333,-34.58333
69678,Comuna 7,02007,102481,118110,220591,81483,89520,146068,87585,SABA,BUENOS AIRES,-34.58333,-58.48333,29.28387097,1,0.06308723242,-58.45263971,-34.63844901,-58.48333,-34.58333
18755,Comuna 8,02008,89545,97692,187237,58204,55377,97262,87585,SABA,BUENOS AIRES,-34.58333,-58.48333,29.28387097,1,0.09492314158,-58.46212451,-34.67585421,-58.48333,-34.58333
105001,Comuna 9,02009,76207,85590,161797,56495,63322,104710,87585,SABA,BUENOS AIRES,-34.58333,-58.48333,29.28387097,1,0.07172587046,-58.49899342,-34.6533247,-58.48333,-34.58333
105002,Comuna 10,02010,76972,89050,166022,61453,71572,116664,87585,SABA,BUENOS AIRES,-34.58333,-58.48333,29.28387097,1,0.05048158211,-58.50302503,-34.62981114,-58.48333,-34.58333
104942,Comuna 11,02011,88469,101363,189832,71460,84649,137304,87585,SABA,BUENOS AIRES,-34.58333,-58.48333,29.28387097,1,0.02845257492,-58.49731576,-34.60810797,-58.48333,-34.58333
69676,Comuna 12,02012,92527,107589,200116,78547,93409,149990,87585,SABA,BUENOS AIRES,-34.58333,-58.48333,29.28387097,1,0.01707352846,-58.49103681,-34.56809483,-58.48333,-34.58333
48889,Comuna 13,02013,103832,127499,231331,100506,129633,195464,87585,SABA,BUENOS AIRES,-34.58333,-58.48333,29.28387097,1,0.03925299006,-58.4547288,-34.55644565,-58.48333,-34.58333
