"link","varones","mujeres","tot_pob","hogares","id","id_oaci","Lat_est","lon_est","Lat_Loc","Lon_Loc"
"02001","98097","107789","205886","84468","87582","SABE","-34.56667","-58.41667","-58.37215554","-34.60787578"
"02002","68042","89890","157932","73156","87582","SABE","-34.56667","-58.41667","-58.39547225","-34.58779591"
"02003","85601","101936","187537","80489","87582","SABE","-34.56667","-58.41667","-58.40339966","-34.61573394"
"02004","103166","115079","218245","76455","87582","SABE","-34.56667","-58.41667","-58.3881278","-34.64357554"
"02005","80806","98199","179005","76846","87582","SABE","-34.56667","-58.41667","-58.42132165","-34.61926067"
"02006","78870","97206","176076","75189","87585","SABA","-34.58333","-58.48333","-58.44431907","-34.61873427"
"02007","102481","118110","220591","81483","87585","SABA","-34.58333","-58.48333","-58.45263971","-34.63844901"
"02008","89545","97692","187237","58204","87585","SABA","-34.58333","-58.48333","-58.46212451","-34.67585421"
"02009","76207","85590","161797","56495","87585","SABA","-34.58333","-58.48333","-58.49899342","-34.6533247"
"02010","76972","89050","166022","61453","87585","SABA","-34.58333","-58.48333","-58.50302503","-34.62981114"
"02011","88469","101363","189832","71460","87585","SABA","-34.58333","-58.48333","-58.49731576","-34.60810797"
"02012","92527","107589","200116","78547","87585","SABA","-34.58333","-58.48333","-58.49103681","-34.56809483"
"02013","103832","127499","231331","100506","87585","SABA","-34.58333","-58.48333","-58.4547288","-34.55644565"
"02014","100581","125389","225970","102918","87582","SABE","-34.56667","-58.41667","-58.42261809","-34.57540644"
"02015","84485","98089","182574","72465","87585","SABA","-34.58333","-58.48333","-58.46352457","-34.59377377"
"06007","8405","8667","17072","6237","87679","SAZE","-37.6","-62.38333","-63.05616389","-37.19961346"
"06014","5909","6138","12047","4199","87688","SAZH","-38.33333","-60.25","-60.25098282","-37.96632892"
"06021","5181","5473","10654","3828","87550","SAZX","-35.45","-60.88333","-60.28344275","-35.03915953"
"06028","270247","282655","552902","156918","87576","SAEZ","-34.81667","-58.53333","-58.36759794","-34.836714"
"06035","162264","180413","342677","113142","87582","SABE","-34.56667","-58.41667","-58.34120958","-34.67854042"
"06042","9985","10352","20337","6967","87645","SAZT","-37.23333","-59.25","-58.44342474","-37.0368179"
"06049","31648","33632","65280","22020","87641","SAZA","-36.83333","-59.88333","-59.69871604","-36.79147342"
"06056","144648","156924","301572","105342","87750","SAZB","-38.73333","-62.16667","-62.17062492","-38.58531697"
"06063","21520","22303","43823","14720","87692","SAZM","-37.93333","-57.58333","-58.27250777","-37.71676174"
"06070","16193","16568","32761","10416","87572","SADJ","-34.55","-58.81667","-59.49393093","-33.93397938"
"06077","13979","15065","29044","9546","87548","SAAJ","-34.55","-60.91667","-60.06366808","-34.01401747"
"06084","10239","10000","20239","6786","87649","SAZJ","-37.71667","-59.78333","-59.88899529","-37.58863275"
"06091","158608","165636","324244","93164","87593","SADL","-34.96667","-57.9","-58.15534301","-34.81895299"
"06098","43012","45458","88470","27449","87593","SADL","-34.96667","-57.9","-57.82904663","-34.91112841"
"06105","16828","17362","34190","12002","87640","SAZI","-36.2","-61.06667","-61.15125479","-36.30035562"
"06112","20025","21311","41336","14291","87550","SAZX","-35.45","-60.88333","-60.60431347","-35.06309714"
"06119","13064","13303","26367","8324","87593","SADL","-34.96667","-57.9","-58.17695157","-35.2228183"
"06126","47271","47190","94461","28111","87572","SADJ","-34.55","-58.81667","-58.88366539","-34.14052593"
"06134","25920","25972","51892","15312","87576","SAEZ","-34.81667","-58.53333","-58.69107898","-35.14651675"
"06140","7058","7436","14494","4672","87572","SADJ","-34.55","-58.81667","-59.85602294","-34.15151012"
"06147","10856","11381","22237","7775","87544","SAZP","-35.86667","-61.9","-61.37463357","-35.75128361"
"06154","5806","5764","11570","3976","87540","SAET","-35.96667","-62.73333","-62.43002992","-35.38278828"
"06161","7328","7364","14692","4631","87548","SAAJ","-34.55","-60.91667","-59.88515612","-34.40846706"
"06168","3997","4208","8205","2721","87648","SAZD","-36.35","-57.73333","-57.65305365","-36.04480913"
"06175","12109","12781","24890","8191","87548","SAAJ","-34.55","-60.91667","-61.06334037","-33.88840019"
"06182","30413","31739","62152","19424","87750","SAZB","-38.73333","-62.16667","-61.83571239","-38.85036963"
"06189","7701","8124","15825","5689","87683","SABP","-38.01667","-61.33333","-61.09592544","-38.67092512"
"06196","11115","11818","22933","8097","87683","SABP","-38.01667","-61.33333","-61.26456575","-38.14907247"
"06203","18752","19568","38320","13451","87637","SAZC","-37.43333","-61.88333","-61.88976117","-37.53352737"
"06210","23690","25013","48703","16496","87548","SAAJ","-34.55","-60.91667","-60.35517449","-34.62010555"
"06217","20707","21570","42277","13903","87648","SAZD","-36.35","-57.73333","-57.90281734","-35.67781932"
"06224","30744","33441","64185","22083","87548","SAAJ","-34.55","-60.91667","-59.95953534","-34.9173809"
"06231","8402","8487","16889","5479","87544","SAZP","-35.86667","-61.9","-61.89100549","-36.64314685"
"06238","13061","13981","27042","9004","87648","SAZD","-36.35","-57.73333","-57.63646745","-36.4011497"
"06245","27790","28939","56729","17443","87593","SADL","-34.96667","-57.9","-57.97973953","-34.84403792"
"06252","106017","107602","213619","59981","87553","SADF","-34.45","-58.58333","-58.77121232","-34.32976745"
"06260","147980","152979","300959","85952","87576","SAEZ","-34.81667","-58.53333","-58.47698673","-34.83225777"
"06266","14923","14882","29805","9101","87572","SADJ","-34.55","-58.81667","-59.15630677","-34.2970495"
"06270","81902","81820","163722","44487","87576","SAEZ","-34.81667","-58.53333","-58.56486881","-34.87714713"
"06274","212909","213096","426005","113135","87576","SAEZ","-34.81667","-58.53333","-58.2587758","-34.87870242"
"06277","4419","4450","8869","2986","87544","SAZP","-35.86667","-61.9","-62.40342633","-34.87712119"
"06280","19404","20190","39594","12732","87692","SAZM","-37.93333","-57.58333","-58.0706705","-38.20192909"
"06287","6280","4850","11130","3308","87641","SAZA","-36.83333","-59.88333","-60.13323676","-36.03747788"
"06294","7268","7635","14903","5327","87548","SAAJ","-34.55","-60.91667","-61.28405524","-34.24020002"
"06301","8483","8882","17365","6008","87563","SAEL","-36.03333","-59.13333","-58.70342407","-35.83428346"
"06308","1444","1372","2816","1005","87648","SAZD","-36.35","-57.73333","-57.99683551","-36.66906142"
"06315","9527","10220","19747","6332","87663","SAZV","-37.23333","-57.01667","-57.23198515","-37.15854823"
"06322","5328","5455","10783","3777","87637","SAZC","-37.43333","-61.88333","-61.34457743","-37.35778157"
"06329","7275","7614","14889","4641","87573","SADR","-34.68333","-58.73333","-58.9962664","-34.91168694"
"06336","1893","1807","3700","1176","87663","SAZV","-37.23333","-57.01667","-56.94342965","-36.65153866"
"06343","5560","5642","11202","3782","87576","SAEZ","-34.81667","-58.53333","-58.39077921","-35.46976274"
"06351","5639","5622","11261","3888","87468","SAFV","-33.66667","-61.96667","-62.0412473","-34.67151013"
"06357","295294","323695","618989","209794","87692","SAZM","-37.93333","-57.58333","-57.74032582","-37.96700953"
"06364","43221","43964","87185","24926","87572","SADJ","-34.55","-58.81667","-58.98681849","-34.65315421"
"06371","198094","216102","414196","133202","87571","SADP","-34.6","-58.6","-58.56445181","-34.55373193"
"06385","8894","9184","18078","6286","87548","SAAJ","-34.55","-60.91667","-61.04961367","-34.99988779"
"06392","15554","15310","30864","10342","87534","SAOL","-34.13333","-63.36667","-62.95498539","-34.77215735"
"06399","5928","5898","11826","4224","87679","SAZE","-37.6","-62.38333","-62.41756004","-36.89218957"
"06406","4739","4846","9585","3295","87544","SAZP","-35.86667","-61.9","-61.66145189","-36.26135697"
"06408","87278","93963","181241","55122","87571","SADP","-34.6","-58.6","-58.64979238","-34.60022596"
"06410","81188","86636","167824","51444","87574","SADM","-34.66667","-58.63333","-58.68888162","-34.63705318"
"06412","131291","134690","265981","71722","87572","SADJ","-34.55","-58.81667","-58.77777035","-34.51297867"
"06413","43464","46841","90305","30315","87548","SAAJ","-34.55","-60.91667","-61.00675042","-34.54869254"
"06420","34239","35394","69633","23949","87663","SAZV","-37.23333","-57.01667","-56.71563345","-36.71091212"
"06427","866690","909126","1775816","484909","87576","SAEZ","-34.81667","-58.53333","-58.62532915","-34.77121478"
"06434","218873","240390","459263","149594","87582","SABE","-34.56667","-58.41667","-58.39483775","-34.70665219"
"06441","315263","339061","654324","221313","87593","SADL","-34.96667","-57.9","-58.01830715","-35.0070627"
"06441","315263","339061","654324","221313","87582","SABE","-34.56667","-58.41667","-58.25126428","-34.18396424"
"06448","4940","5270","10210","3472","87683","SABP","-38.01667","-61.33333","-60.7684349","-37.51729069"
"06455","11518","12353","23871","8213","87563","SAEL","-36.03333","-59.13333","-59.17587547","-36.01980215"
"06462","8215","8584","16799","5783","87548","SAAJ","-34.55","-60.91667","-61.61386002","-34.50045985"
"06469","20505","21303","41808","14528","87544","SAZP","-35.86667","-61.9","-61.6842256","-35.07254978"
"06476","8790","8733","17523","5902","87645","SAZT","-37.23333","-59.25","-58.69470476","-38.09206163"
"06483","17497","18675","36172","11749","87573","SADR","-34.68333","-58.73333","-59.14812637","-35.2218807"
"06490","297042","319237","616279","188844","87576","SAEZ","-34.81667","-58.53333","-58.42418556","-34.7560257"
"06497","52185","54088","106273","32524","87572","SADJ","-34.55","-58.81667","-59.15753679","-34.57038884"
"06505","10648","8653","19301","5358","87593","SADL","-34.96667","-57.9","-57.6860616","-35.18756729"
"06511","4849","5339","10188","3447","87648","SAZD","-36.35","-57.73333","-57.58832637","-36.89017237"
"06515","159205","163170","322375","89338","87570","SADO","-34.53333","-58.66667","-58.71215284","-34.48837782"
