FECHA,TMAX,TMIN,NOMBRE,ID,OACI
27072021,12.1,4.3,AEROPARQUE AERO,87582,SABE
27072021,9.5,-0.5,AZUL AERO,87641,SAZA
27072021,10.6,0.7,BAHIA BLANCA AERO,87750,SAZB
27072021,9.7,-5.8,BARILOCHE AERO,87765,SAZS
27072021,-7.5,-14.3,BASE BELGRANO II,89034,SAYB
27072021,-3.9,-7.6,BASE CARLINI (EX JUBANY),89053,SAYJ
27072021,-8.9,-17.6,BASE ESPERANZA,88963,SAYE
27072021,-9.9,-22.2,BASE MARAMBIO,89055,SAWB
27072021,-14.4,-22.5,BASE ORCADAS,88968,SAYO
27072021,2,-14.3,BASE SAN MARTIN,89066,SAYS
27072021,8.2,-2.3,BENITO JUAREZ AERO,87649,SAZJ
27072021,21.9,3.7,BERNARDO DE IRIGOYEN AERO,87163,SATI
27072021,10.3,-1.5,BOLIVAR AERO,87640,SAZI
27072021,11.8,4,BUENOS AIRES OBSERVATORIO,87585,SABA
27072021,11,1.6,CAMPO DE MAYO AERO,87570,SADO
27072021,17.5,1.2,CATAMARCA AERO,87222,SANC
27072021,15.7,3.2,CERES AERO,87257,SANW
27072021,17,2,CHAMICAL AERO,87320,SACT
27072021,10,-6.2,CHAPELCO AERO,87761,SAZY
27072021,15,-2,CHEPES,87322,SACP
27072021,13.6,2,CHILECITO AERO,87213,SANO
27072021,15,3,CIPOLLETTI,87719,SAHI
27072021,10.8,3.1,COMODORO RIVADAVIA AERO,87860,SAVC
27072021,12.8,1.3,CONCORDIA AERO,87395,SAAC
27072021,15.4,-3.8,CORDOBA AERO,87344,SACO
27072021,16.2,-0.7,CORDOBA OBSERVATORIO,87345,SACK
27072021,8.4,0.2,CORONEL PRINGLES AERO,87683,SABP
27072021,9.8,1.3,CORONEL SUAREZ AERO,87637,SAZC
27072021,15,7,CORRIENTES AERO,87166,SARC
27072021,11,0.1,DOLORES AERO,87648,SAZD
27072021,9.6,-3.4,EL BOLSON AERO,87800,SAVB
27072021,7.9,0,EL CALAFATE AERO,87904,SAWC
27072021,11.5,2.2,EL PALOMAR AERO,87571,SADP
27072021,14.6,-3.5,EL TREBOL,87470,SAFT
